term,reading,category,definition
洗替法,あらいがえほう,決算,貸倒引当金の計上方法の一つで、前期の貸倒引当金をすべて取り崩し、当期の貸倒見積高で新たに貸倒引当金を計上する方法。
移動平均法,いどうへいきんほう,商品,単価の異なる商品を受け入れたつど、平均単価を計算して、その平均単価を払出単価とする方法。
インプレスト・システム,いんぷれすとしすてむ,現金,１週間～１か月程度の一定期間ごとに一定の小口現金を経理担当者から各部署の担当者に前渡しする制度のこと。定額資金前渡制度ともいう。
受取手形記入帳,うけとりてがたきにゅうちょう,帳簿,「受取手形」の増減明細を記録するための帳簿。
受取人,うけとりにん,手形,手形代金を受け取る人。名宛人ともいう。
売上原価,うりあげげんか,決算,当期の売上に対応した仕入原価。
売上債権,うりあげさいけん,債権,売掛金や受取手形などの商品の売上に伴って発生した債権のこと。
売上諸掛り,うりあげしょがかり,商品,商品を売り上げたときにかかった諸経費のこと。配送運賃のほか、保険料、梱包代などが含まれる。
売上総利益,うりあげそうりえき,決算,売上高から売上原価を差し引いた利益。
売上帳,うりあげちょう,帳簿,「売上」勘定の増減明細を記録するための帳簿。
売上戻し,うりあげもどし,商品,売り上げた商品が返品されること。
売掛金元帳,うりかけきんもとちょう,帳簿,「売掛金」の増減を得意先別に記録するための帳簿。得意先元帳ともいう。
買掛金元帳,かいかけきんもとちょう,帳簿,「買掛金」の増減を仕入先別に記録するための帳簿。仕入先元帳ともいう。
確定申告,かくていしんこく,税金,決算により確定した年間の法人税等の税額を申告・納付する手続き。
掛け,かけ,商品,代金をあとで支払うこと（売り上げの場合は代金をあとで受け取ること）。後払い。
貸倒れ,かしだおれ,債権,売掛金などの債権のお金が回収できなくなること。
貸倒見積高,かしだおれみつもりだか,決算,将来の貸倒れの見積額のこと。
貸し付け,かしつけ,債権,お金を貸すこと。
株式会社,かぶしきがいしゃ,純資産,株式の発行により資金を集めて経営を行う会社形態。
株主,かぶぬし,純資産,株式会社に出資した人。
株主総会,かぶぬしそうかい,純資産,会社の基本的な方針や重要な事項を決定するための株主による会議。株式会社における最高意思決定機関。
借り入れ,かりいれ,債務,お金を借りること。
仮勘定,かりかんじょう,仕訳,勘定科目が確定しない場合に、一時的に取引を記録するために使用される勘定科目の総称。
為替手形,かわせてがた,手形,三者間の取引において、一定の期日までに一定の金額の支払いを約束する証券のこと。
間接税,かんせつぜい,税金,税金の負担者が納税するのではなく、事業者などの納税義務者を通じて納税するしくみの税金。
概算払い,がいさんばらい,現金,支払額が未定のときに、あとで精算する条件でおよその見積額を支払うこと。
期首商品棚卸高,きしゅしょうひんたなおろしだか,決算,前期から繰り越された商品在庫。
記帳,きちょう,帳簿,帳簿に記入すること。
期末商品棚卸高,きまつしょうひんたなおろしだか,決算,当期末における商品在庫。翌期に繰り越される商品。
繰り延べ,くりのべ,決算,当期中に支払った費用に翌期分が含まれている場合に、その翌期分を当期の費用から取り除く処理のこと。
クレジット払い,くれじっとばらい,商品,代金をクレジットカード決済で支払うこと。
経過勘定,けいかかんじょう,決算,一定期間にわたって継続的にサービスが提供される場合に、現金の収支とサービスの提供時期のズレを調整するために使われる勘定科目。前払費用・前受収益・未払費用・未収収益の総称。
決算,けっさん,決算,１つの会計期間の経営成績や期末の財政状態を確定させるための手続き。
決算整理,けっさんせいり,決算,財務諸表を作成するための各勘定科目の修正作業。
